transaction_id;account_id;transaction_date;amount;transaction_type;channel
110;100004;2025-08-04;190;credit;branch
111;100004;2025-12-24;3516;credit;card
112;100004;2025-08-02;2135;debit;online
113;100004;2025-07-12;3481;debit;online
114;100004;2025-04-22;3106;debit;transfer
115;100004;2025-06-08;3074;debit;transfer
116;100004;2025-08-27;1288;credit;atm
117;100004;2025-05-28;2715;debit;online
118;100004;2025-05-28;3175;debit;atm
119;100004;2025-03-27;4505;credit;branch
120;100004;2025-03-26;1236;debit;atm
121;100004;2025-07-31;1997;credit;transfer
122;100004;2025-02-10;2198;credit;transfer
123;100004;2025-10-05;3781;credit;online
124;100005;2025-03-16;2951;debit;card
125;100005;2025-11-22;2841;debit;atm
126;100005;2025-12-09;1242;debit;transfer
127;100005;2025-11-30;948;credit;card
128;100005;2025-06-11;4040;credit;card
129;100005;2025-09-28;3621;debit;branch
130;100005;2025-01-12;1485;credit;transfer
131;100005;2025-07-01;172;credit;branch
132;100005;2025-12-26;1766;credit;atm
133;100005;2025-12-22;3892;credit;online
134;100005;2025-06-21;744;debit;online
135;100005;2025-11-25;4951;credit;online
136;100005;2025-05-02;3302;credit;transfer
137;100005;2025-12-16;4823;credit;branch
138;100005;2025-09-24;2112;credit;online
139;100005;2025-05-22;1614;debit;payroll
140;100005;2025-11-08;3621;credit;card
141;100005;2025-04-18;4215;credit;branch
142;100005;2025-09-20;2657;credit;card
143;100006;2025-06-08;1004;debit;branch
144;100006;2025-03-31;4558;debit;online
145;100006;2025-11-15;276;credit;transfer
146;100006;2025-06-08;2948;credit;payroll
147;100006;2025-06-20;1825;debit;atm
148;100006;2025-05-04;4385;credit;card
149;100006;2025-07-09;2037;credit;online
150;100006;2025-02-10;271;debit;card
151;100006;2025-06-22;3914;debit;branch
152;100006;2025-06-14;119;credit;payroll
153;100006;2025-03-18;2870;credit;card
154;100006;2025-11-30;3640;credit;payroll
155;100006;2025-10-10;3538;debit;transfer
156;100006;2025-12-20;674;debit;atm
157;100006;2025-09-14;2605;credit;branch
158;100006;2025-08-28;1420;debit;atm
159;100006;2025-12-05;3555;credit;transfer
160;100006;2025-06-19;3863;debit;online
161;100006;2025-08-04;3067;debit;branch
162;100006;2025-11-15;4682;credit;atm
163;100006;2025-11-28;2452;credit;payroll
164;100006;2025-01-16;945;debit;payroll
165;100006;2025-09-05;2531;debit;online
166;100007;2025-10-26;4474;credit;card
167;100007;2025-09-13;3386;debit;branch
168;100007;2025-05-19;4895;credit;atm
169;100007;2025-04-20;196;debit;online
170;100007;2025-01-02;3951;debit;online
171;100007;2025-04-08;1656;credit;payroll
172;100007;2025-08-03;1103;credit;atm
173;100007;2025-06-05;3676;debit;atm
174;100007;2025-05-07;2511;credit;online
175;100007;2025-07-30;1635;debit;online
176;100007;2025-02-09;597;debit;atm
177;100007;2025-01-20;47;debit;card
178;100007;2025-12-01;4360;credit;payroll
179;100007;2025-01-31;2495;debit;online
180;100007;2025-10-21;2614;credit;branch
181;100007;2025-11-20;978;credit;payroll
182;100007;2025-02-25;4430;debit;atm
183;100007;2025-05-11;2047;credit;branch
184;100007;2025-07-08;1950;debit;branch
185;100008;2025-07-05;1337;debit;online
186;100008;2025-01-28;4962;credit;card
187;100008;2025-07-18;1271;debit;payroll
188;100008;2025-01-14;4865;debit;card
189;100008;2025-11-02;1427;credit;transfer
190;100008;2025-07-18;3048;debit;payroll
191;100008;2025-09-10;1184;credit;atm
192;100008;2025-10-23;2150;debit;card
193;100008;2025-02-05;3964;credit;payroll
194;100008;2025-10-25;4654;debit;branch
195;100008;2025-06-19;4196;credit;atm
196;100008;2025-03-16;2799;debit;payroll
197;100008;2025-04-18;1236;credit;transfer
198;100008;2025-07-16;3859;credit;online
199;100008;2025-10-30;3345;credit;card
200;100008;2025-09-12;173;credit;atm
201;100008;2025-09-06;2307;credit;atm
202;100008;2025-12-17;1138;credit;atm
203;100008;2025-01-05;294;debit;payroll
204;100008;2025-05-11;4192;credit;branch
205;100008;2025-07-18;4049;debit;branch
206;100008;2025-02-21;2084;debit;transfer
207;100008;2025-12-20;1786;credit;branch
208;100008;2025-04-15;295;debit;online
209;100008;2025-06-15;4821;credit;payroll
210;100008;2025-04-24;1156;debit;payroll
211;100008;2025-03-10;2282;debit;card
212;100008;2025-12-25;238;credit;transfer
213;100008;2025-01-03;1754;debit;transfer
214;100008;2025-01-17;1404;credit;transfer
215;100008;2025-08-06;2948;debit;payroll
216;100008;2025-01-12;4542;credit;online
217;100008;2025-02-27;3061;debit;branch
218;100008;2025-04-22;1678;debit;branch
219;100009;2025-04-28;3298;debit;atm
220;100009;2025-01-29;2502;debit;atm
221;100009;2025-05-27;4001;credit;payroll
222;100009;2025-04-09;1604;debit;online
223;100009;2025-01-13;2278;debit;transfer
224;100009;2025-07-14;4946;debit;online
225;100009;2025-12-29;249;credit;payroll
226;100009;2025-11-05;3799;credit;payroll
227;100009;2025-03-09;1865;debit;card
228;100009;2025-12-24;2348;debit;card
229;100009;2025-08-17;400;credit;payroll
230;100009;2025-12-21;1535;debit;branch
231;100009;2025-12-25;857;credit;payroll
232;100009;2025-07-08;1511;debit;payroll
233;100009;2025-11-30;4883;debit;payroll
234;100009;2025-05-14;871;debit;atm
235;100009;2025-01-11;1303;credit;online
236;100009;2025-09-16;4180;credit;branch
237;100009;2025-12-26;392;credit;transfer
238;100009;2025-12-28;869;debit;branch
239;100009;2025-08-23;2272;credit;transfer
240;100009;2025-12-17;4005;credit;card
241;100009;2025-05-25;1968;credit;payroll
242;100009;2025-09-19;2793;credit;online
243;100009;2025-07-20;1498;debit;payroll
244;100009;2025-12-13;2318;credit;online
245;100009;2025-02-07;3736;debit;branch
246;100009;2025-01-04;3293;debit;transfer
247;100009;2025-07-31;4518;debit;atm
248;100009;2025-08-08;982;credit;transfer
249;100009;2025-04-02;2744;debit;online
250;100009;2025-03-16;1218;debit;transfer
251;100009;2025-07-13;3545;credit;atm
252;100010;2025-06-24;1607;credit;payroll
253;100010;2025-04-12;127;credit;branch
254;100010;2025-04-12;1233;debit;payroll
255;100010;2025-05-11;3980;credit;payroll
256;100010;2025-09-10;798;credit;online
257;100010;2025-01-10;4201;debit;atm
258;100010;2025-07-23;199;debit;branch
259;100010;2025-03-14;3287;credit;card
260;100010;2025-03-05;1311;debit;transfer
261;100010;2025-01-27;763;debit;branch
262;100010;2025-11-22;4143;debit;transfer
263;100010;2025-05-04;3355;debit;online
264;100010;2025-09-04;3285;credit;transfer
265;100010;2025-12-10;3221;credit;online
266;100010;2025-07-18;589;credit;transfer
267;100011;2025-08-04;519;credit;online
268;100011;2025-03-28;1361;debit;transfer
269;100011;2025-01-27;1905;credit;branch
270;100011;2025-07-09;1252;debit;card
271;100011;2025-11-21;2408;debit;branch
272;100011;2025-10-22;1628;credit;branch
273;100011;2025-04-11;953;credit;online
274;100011;2025-08-07;84;debit;branch
275;100011;2025-09-27;4296;debit;online
276;100011;2025-06-23;104;debit;payroll
277;100011;2025-12-13;5000;credit;atm
278;100011;2025-07-13;3697;credit;transfer
279;100011;2025-01-23;546;credit;card
280;100011;2025-12-02;1678;credit;transfer
281;100011;2025-12-01;1923;debit;atm
282;100011;2025-06-27;1544;debit;online
283;100012;2025-11-23;2452;debit;atm
284;100012;2025-08-31;285;debit;transfer
285;100012;2025-08-06;4773;debit;transfer
286;100012;2025-07-24;975;credit;online
287;100012;2025-07-11;3235;debit;payroll
288;100012;2025-03-01;4295;credit;transfer
289;100012;2025-06-23;3454;credit;atm
290;100012;2025-03-17;2601;credit;atm
291;100012;2025-12-22;1754;credit;branch
292;100012;2025-09-12;2158;debit;transfer
293;100012;2025-09-14;3961;debit;online
294;100012;2025-04-01;320;debit;payroll
295;100012;2025-06-05;408;credit;payroll
296;100012;2025-08-28;4616;debit;online
297;100012;2025-03-31;4974;debit;transfer
298;100012;2025-07-29;2784;debit;card
299;100012;2025-01-24;413;credit;payroll
300;100012;2025-06-28;583;debit;atm
301;100012;2025-10-22;2875;credit;branch
302;100012;2025-04-17;190;credit;atm
303;100012;2025-12-30;4713;debit;branch
304;100012;2025-11-04;3774;credit;payroll
305;100012;2025-07-01;4218;debit;card
306;100012;2025-12-05;594;credit;atm
307;100012;2025-06-06;4103;debit;branch
308;100012;2025-05-07;4272;debit;online
309;100012;2025-08-18;3798;credit;atm
310;100012;2025-10-26;2586;debit;payroll
311;100012;2025-01-12;3851;debit;payroll
312;100012;2025-07-31;270;debit;branch
313;100012;2025-05-29;2118;debit;branch
314;100012;2025-07-21;1626;debit;branch
315;100012;2025-04-25;4991;debit;atm
316;100012;2025-08-07;2426;credit;atm
317;100012;2025-08-29;2722;credit;atm
318;100012;2025-09-15;2184;debit;payroll
319;100012;2025-07-03;4846;debit;card
320;100012;2025-02-02;2420;credit;online
321;100012;2025-12-11;2526;debit;payroll
322;100012;2025-07-28;2145;credit;payroll
323;100013;2025-03-30;1833;debit;branch
324;100013;2025-11-08;1173;credit;online
325;100013;2025-04-03;2373;credit;online
326;100013;2025-08-06;869;debit;atm
327;100013;2025-07-05;93;credit;card
328;100013;2025-01-04;2294;credit;atm
329;100013;2025-09-17;3565;debit;atm
330;100013;2025-08-23;1256;credit;payroll
331;100013;2025-04-19;1919;debit;transfer
332;100013;2025-04-06;1474;credit;transfer
333;100013;2025-05-13;2169;credit;branch
334;100013;2025-06-16;638;debit;card
335;100013;2025-12-29;1228;credit;card
336;100013;2025-06-03;40;debit;online
337;100013;2025-04-19;4488;credit;payroll
338;100013;2025-07-04;1178;credit;atm
339;100013;2025-01-15;2291;debit;atm
340;100013;2025-05-08;231;debit;online
341;100013;2025-12-24;1989;credit;online
342;100013;2025-10-24;3489;debit;online
343;100013;2025-01-10;4796;credit;branch
344;100013;2025-12-04;1981;credit;atm
345;100013;2025-12-14;4294;debit;card
346;100013;2025-04-24;1833;credit;card
347;100013;2025-08-11;4733;credit;payroll
348;100013;2025-03-14;3455;debit;card
349;100013;2025-02-05;2909;debit;online
350;100014;2025-11-27;849;credit;online
351;100014;2025-08-14;3852;credit;payroll
352;100014;2025-12-09;4440;credit;payroll
353;100014;2025-08-16;745;debit;card
354;100014;2025-06-15;962;credit;online
355;100014;2025-07-22;955;debit;branch
356;100014;2025-01-13;2878;debit;transfer
357;100014;2025-10-18;2610;debit;transfer
358;100014;2025-03-25;1880;credit;branch
359;100014;2025-11-06;1486;debit;card
360;100014;2025-07-03;1437;credit;payroll
361;100014;2025-04-06;2088;credit;card
362;100014;2025-03-11;1610;debit;atm
363;100014;2025-05-11;2458;debit;branch
364;100014;2025-09-24;1662;debit;payroll
365;100014;2025-03-03;1581;debit;branch
366;100014;2025-05-25;897;credit;payroll
367;100014;2025-10-30;4483;credit;payroll
368;100014;2025-08-17;3785;debit;transfer
369;100015;2025-12-01;621;debit;transfer
370;100015;2025-06-25;2423;credit;atm
371;100015;2025-09-07;4853;credit;card
372;100015;2025-05-23;36;debit;card
373;100015;2025-10-20;4334;debit;transfer
374;100015;2025-05-09;2572;debit;atm
375;100015;2025-06-16;2637;credit;branch
376;100015;2025-08-26;1367;debit;payroll
377;100015;2025-09-11;1892;debit;payroll
378;100015;2025-08-28;4083;credit;card
379;100015;2025-06-10;1314;credit;payroll
380;100015;2025-04-19;2562;credit;transfer
381;100015;2025-02-04;817;credit;transfer
382;100015;2025-11-06;4073;debit;transfer
383;100015;2025-10-18;4307;debit;online
384;100016;2025-02-09;2759;debit;transfer
385;100016;2025-06-04;4078;debit;transfer
386;100016;2025-11-30;4514;credit;payroll
387;100016;2025-02-10;4681;credit;branch
388;100016;2025-07-27;3253;credit;payroll
389;100016;2025-08-01;1639;credit;branch
390;100016;2025-07-13;2959;debit;online
391;100016;2025-06-19;971;credit;atm
392;100016;2025-09-26;918;credit;branch
393;100016;2025-01-19;648;debit;transfer
394;100016;2025-02-09;1267;debit;transfer
395;100016;2025-04-24;1855;debit;payroll
396;100016;2025-03-24;114;debit;card
397;100016;2025-07-05;3927;debit;transfer
398;100016;2025-09-25;3720;credit;card
399;100016;2025-04-14;3064;credit;atm
400;100016;2025-08-13;2004;credit;transfer
401;100016;2025-12-03;364;credit;atm
402;100016;2025-10-14;2363;debit;branch
403;100016;2025-02-01;4864;credit;branch
404;100016;2025-07-01;4670;credit;online
405;100016;2025-05-18;245;debit;transfer
406;100016;2025-05-28;3093;credit;online
407;100016;2025-10-22;1785;debit;branch
408;100016;2025-04-28;151;credit;branch
409;100016;2025-04-03;2970;credit;transfer
410;100016;2025-05-24;1813;debit;transfer
411;100016;2025-09-29;1906;credit;online
412;100016;2025-10-05;3131;debit;payroll
413;100016;2025-02-22;3920;credit;transfer
414;100016;2025-08-19;4886;credit;payroll
415;100017;2025-12-27;1867;credit;card
416;100017;2025-10-24;417;debit;atm
417;100017;2025-03-31;4080;credit;payroll
418;100017;2025-04-14;2251;debit;transfer
419;100017;2025-02-08;3546;credit;card
420;100017;2025-10-20;1572;debit;branch
421;100017;2025-11-05;185;debit;branch
422;100017;2025-03-17;847;debit;atm
423;100017;2025-02-22;3100;credit;atm
424;100017;2025-01-15;4634;debit;online
425;100017;2025-02-09;3171;credit;branch
426;100017;2025-08-21;3975;debit;atm
427;100017;2025-07-07;888;credit;online
428;100017;2025-12-14;3166;credit;atm
429;100017;2025-07-24;1142;credit;payroll
430;100017;2025-04-08;1986;credit;transfer
431;100017;2025-08-03;2036;debit;card
432;100017;2025-08-26;2758;debit;transfer
433;100017;2025-02-12;1347;credit;payroll
434;100017;2025-03-05;110;debit;online
435;100017;2025-03-07;2029;credit;branch
436;100018;2025-03-08;1131;debit;card
437;100018;2025-07-24;4999;debit;branch
438;100018;2025-09-29;992;credit;transfer
439;100018;2025-06-27;1050;debit;transfer
440;100018;2025-08-23;3287;credit;payroll
441;100018;2025-08-15;650;debit;transfer
442;100018;2025-11-05;1793;debit;atm
443;100018;2025-06-18;2683;debit;payroll
444;100018;2025-03-29;4000;debit;card
445;100018;2025-06-23;4736;credit;card
446;100018;2025-12-23;4171;debit;card
447;100018;2025-11-20;4610;debit;card
448;100018;2025-02-18;3274;credit;atm
449;100018;2025-07-04;1343;credit;branch
450;100018;2025-05-19;2305;debit;atm
451;100018;2025-10-07;3992;credit;branch
452;100018;2025-08-06;1695;debit;card
453;100018;2025-10-30;4154;credit;atm
454;100018;2025-06-24;1699;credit;payroll
455;100018;2025-12-16;4385;credit;online
456;100018;2025-01-14;655;debit;payroll
457;100018;2025-07-09;313;credit;atm
458;100018;2025-01-15;2116;credit;atm
459;100018;2025-12-21;1498;debit;payroll
460;100018;2025-02-12;3201;debit;branch
461;100018;2025-08-17;4804;credit;transfer
462;100018;2025-09-13;3666;debit;card
463;100018;2025-09-19;317;credit;transfer
464;100018;2025-01-31;4667;credit;transfer
465;100018;2025-04-09;1835;debit;atm
466;100018;2025-12-26;4218;credit;card
467;100018;2025-07-06;839;debit;online
468;100018;2025-10-05;1910;credit;online
469;100018;2025-04-03;2456;credit;atm
470;100019;2025-08-20;2559;debit;transfer
471;100019;2025-06-28;4246;credit;online
472;100019;2025-02-17;3484;credit;atm
473;100019;2025-01-01;1730;credit;transfer
474;100019;2025-06-16;936;credit;transfer
475;100019;2025-06-28;1630;credit;card
476;100019;2025-07-14;807;debit;card
477;100019;2025-07-23;565;credit;online
478;100019;2025-03-11;2327;credit;payroll
479;100019;2025-05-18;2101;credit;transfer
480;100019;2025-06-25;1680;credit;branch
481;100019;2025-07-06;1379;credit;payroll
482;100019;2025-04-21;2180;debit;transfer
483;100019;2025-03-16;2515;debit;atm
484;100019;2025-11-09;2023;debit;transfer
485;100019;2025-03-27;1371;credit;transfer
486;100019;2025-12-21;2515;credit;online
487;100019;2025-05-13;3165;debit;online
488;100019;2025-02-04;2382;credit;card
489;100019;2025-12-17;4917;debit;card
490;100019;2025-07-28;2515;debit;online
491;100019;2025-07-27;1937;debit;branch
492;100019;2025-05-12;7;credit;card
493;100019;2025-08-01;2451;credit;payroll
494;100019;2025-07-02;4104;debit;card
495;100019;2025-07-27;357;credit;branch
496;100019;2025-02-09;2037;debit;atm
497;100019;2025-01-18;1078;credit;branch
498;100019;2025-12-22;3872;debit;online
499;100019;2025-12-07;3097;debit;transfer
500;100019;2025-01-08;18;credit;atm
501;100019;2025-03-27;1879;debit;card
502;100019;2025-07-11;3310;credit;branch
503;100019;2025-10-11;2750;credit;atm
504;100019;2025-09-21;58;credit;atm
505;100019;2025-12-09;537;debit;transfer
506;100019;2025-06-15;1930;credit;transfer
507;100019;2025-02-15;2981;debit;atm
508;100019;2025-06-19;1528;debit;branch
509;100019;2025-02-24;577;debit;payroll
510;100020;2025-08-08;540;debit;branch
511;100020;2025-01-16;855;credit;atm
512;100020;2025-08-12;560;debit;payroll
513;100020;2025-12-10;3669;debit;atm
514;100020;2025-03-24;3181;debit;atm
515;100020;2025-08-09;2736;credit;branch
516;100020;2025-09-01;3023;debit;transfer
517;100020;2025-01-15;2094;credit;transfer
518;100020;2025-07-03;1326;debit;payroll
519;100020;2025-12-22;1040;debit;card
520;100020;2025-07-20;1696;credit;payroll
521;100020;2025-03-17;2495;debit;branch
522;100020;2025-08-26;4150;debit;branch
523;100020;2025-02-24;2512;credit;transfer
524;100020;2025-04-11;4984;credit;card
525;100020;2025-04-25;716;credit;payroll
526;100020;2025-10-16;1436;credit;online
527;100020;2025-10-24;4202;credit;branch
528;100020;2025-12-24;3096;credit;branch
529;100020;2025-01-11;2444;debit;atm
530;100020;2025-05-03;2438;debit;payroll
531;100020;2025-03-27;1566;debit;online
532;100020;2025-03-21;1640;credit;card
533;100020;2025-11-22;1171;credit;atm
534;100020;2025-06-01;4148;credit;transfer
535;100020;2025-03-02;478;debit;atm
536;100020;2025-09-23;832;credit;online
537;100020;2025-11-12;3057;credit;payroll
538;100020;2025-06-13;3726;debit;atm
539;100020;2025-07-07;2232;credit;transfer
540;100020;2025-05-10;181;debit;card
541;100020;2025-08-12;1138;debit;branch
542;100020;2025-07-19;2336;debit;atm
543;100020;2025-02-15;4584;credit;branch
544;100020;2025-06-06;3903;credit;card
545;100020;2025-02-18;4737;credit;atm
546;100021;2025-12-09;1346;debit;payroll
547;100021;2025-07-15;294;credit;atm
548;100021;2025-06-06;3679;debit;branch
549;100021;2025-03-27;2815;credit;branch
550;100021;2025-04-10;2565;debit;card
551;100021;2025-08-12;1854;debit;transfer
552;100021;2025-11-14;954;credit;online
553;100021;2025-11-13;400;credit;online
554;100021;2025-08-09;4879;debit;online
555;100021;2025-08-10;75;credit;online
556;100021;2025-03-19;3978;credit;card
557;100021;2025-07-25;4814;debit;transfer
558;100021;2025-10-09;1751;credit;card
559;100021;2025-01-18;2229;debit;branch
560;100021;2025-05-08;4914;credit;payroll
561;100021;2025-05-28;2904;debit;card
562;100021;2025-12-10;3968;debit;card
563;100021;2025-12-28;332;debit;online
564;100021;2025-10-25;4891;debit;atm
565;100021;2025-12-16;1512;debit;online
566;100021;2025-03-08;2824;credit;card
567;100021;2025-06-19;3766;credit;card
568;100021;2025-06-14;130;credit;transfer
569;100021;2025-05-03;3414;credit;card
570;100021;2025-08-04;1913;credit;branch
571;100021;2025-05-07;1835;debit;branch
572;100021;2025-04-03;1420;debit;card
573;100021;2025-03-25;3450;debit;branch
574;100021;2025-09-25;3928;credit;card
575;100021;2025-03-03;1035;credit;transfer
576;100021;2025-09-08;2173;credit;payroll
577;100021;2025-11-26;3142;debit;branch
578;100021;2025-03-03;3295;credit;payroll
579;100021;2025-11-03;2375;credit;atm
580;100021;2025-06-16;940;credit;transfer
581;100021;2025-08-13;279;credit;payroll
582;100021;2025-08-25;4460;debit;branch
583;100021;2025-12-24;1281;credit;card
584;100021;2025-09-18;4315;debit;atm
585;100021;2025-02-24;4887;debit;payroll
586;100022;2025-04-15;3184;debit;online
587;100022;2025-04-13;2584;debit;atm
588;100022;2025-10-01;3516;credit;payroll
589;100022;2025-01-20;891;debit;online
590;100022;2025-06-26;1180;credit;transfer
591;100022;2025-12-17;4719;credit;payroll
592;100022;2025-08-04;1915;debit;atm
593;100022;2025-10-28;664;debit;card
594;100022;2025-01-24;4632;credit;payroll
595;100022;2025-10-05;3015;credit;branch
596;100022;2025-06-10;86;credit;atm
597;100022;2025-09-30;3537;debit;payroll
598;100022;2025-12-27;4326;debit;online
599;100022;2025-09-26;1292;debit;atm
600;100022;2025-04-28;1589;debit;card
601;100022;2025-01-15;4093;credit;online
602;100022;2025-07-18;3779;credit;atm
603;100022;2025-01-19;4356;debit;payroll
604;100023;2025-04-21;4767;debit;online
605;100023;2025-08-08;4318;debit;payroll
606;100023;2025-11-22;2644;debit;card
607;100023;2025-01-27;180;credit;online
608;100023;2025-11-16;1411;credit;online
609;100023;2025-10-24;1251;debit;payroll
610;100023;2025-05-08;1058;debit;card
611;100023;2025-09-13;2323;debit;payroll
612;100023;2025-05-12;3966;debit;transfer
613;100023;2025-04-09;1672;debit;atm
614;100023;2025-03-23;1746;credit;payroll
615;100023;2025-10-19;4135;credit;card
616;100023;2025-09-14;2508;debit;payroll
617;100023;2025-11-15;1921;debit;transfer
618;100023;2025-08-10;2327;debit;transfer
619;100023;2025-08-11;3341;credit;online
620;100023;2025-02-13;4365;debit;online
621;100023;2025-07-24;2976;debit;card
622;100023;2025-11-19;1844;debit;transfer
623;100023;2025-03-29;4188;debit;branch
624;100023;2025-06-13;486;debit;transfer
625;100023;2025-03-12;3823;debit;atm
626;100023;2025-09-02;4356;debit;payroll
627;100023;2025-08-06;2228;credit;payroll
628;100023;2025-08-29;4880;debit;branch
629;100023;2025-09-21;3981;debit;card
630;100023;2025-12-04;594;credit;transfer
631;100023;2025-05-20;2370;debit;online
632;100023;2025-02-18;2774;credit;atm
633;100023;2025-10-13;3680;credit;atm
634;100023;2025-01-18;4465;credit;atm
635;100023;2025-04-18;2148;credit;payroll
636;100024;2025-02-05;306;credit;card
637;100024;2025-04-30;4281;debit;online
638;100024;2025-08-11;2436;credit;atm
639;100024;2025-09-12;44;credit;transfer
640;100024;2025-10-15;2878;credit;card
641;100024;2025-01-13;2382;credit;card
642;100024;2025-02-06;2752;credit;branch
643;100024;2025-08-18;3251;debit;card
644;100024;2025-07-20;1031;credit;branch
645;100024;2025-12-10;4267;credit;branch
646;100024;2025-06-30;1483;credit;online
647;100024;2025-11-05;811;debit;branch
648;100024;2025-01-12;4572;credit;branch
649;100024;2025-07-10;1378;debit;branch
650;100024;2025-05-11;2881;debit;payroll
651;100024;2025-05-08;1982;credit;branch
652;100024;2025-09-16;698;debit;payroll
653;100024;2025-07-31;4500;credit;atm
654;100024;2025-05-03;3149;debit;card
655;100024;2025-08-05;283;debit;card
656;100024;2025-07-10;3422;credit;online
657;100024;2025-04-01;998;debit;online
658;100024;2025-09-01;1806;credit;card
659;100024;2025-05-13;2106;debit;branch
660;100024;2025-06-04;1933;credit;atm
661;100024;2025-02-02;2363;debit;payroll
662;100024;2025-07-15;3231;credit;payroll
663;100024;2025-09-05;2387;debit;card
664;100024;2025-06-30;2447;debit;branch
665;100024;2025-01-28;1780;credit;transfer
666;100024;2025-01-28;1798;debit;card
667;100024;2025-12-18;1783;debit;payroll
668;100024;2025-02-12;997;credit;atm
669;100024;2025-12-07;2239;debit;card
